n,OPT_X_time,OPT_X_wkldRMSE,OPT_X_cellRMSE,OPT_M_time,OPT_M_wkldRMSE,OPT_M_cellRMSE,RPplus_time,RPplus_wkldRMSE,RPplus_cellRMSE
2,0.008095,1.726099,1.204737,0.013027,1.726257,1.210006,0.001886,1.315679,0.827354,3.625585
4,0.021100,3.465877,1.561273,0.013171,3.843698,1.359108,0.003590,3.126667,1.040469,30.898095
8,0.031101,7.468809,2.158082,0.023242,10.944448,1.408956,0.004069,10.315854,1.310486,443.135431
16,0.042694,16.084087,3.067495,0.032420,38.021795,1.389964,0.007253,40.844739,1.499715,8603.664054
32,0.089854,33.207984,4.347085,0.028128,152.897544,1.354147,0.016633,179.273619,1.577008,198255.956888
64,0.246437,64.673632,6.041551,0.047055,677.562803,1.265519,0.081259,837.813803,1.572992,5044938.929982
