n,OPT_X_time,OPT_X_wkldRMSE,OPT_X_cellRMSE,OPT_M_time,OPT_M_wkldRMSE,OPT_M_cellRMSE,RPplus_time,RPplus_wkldRMSE,RPplus_cellRMSE
2,0.014648,1.960484,1.483289,0.006782,1.960621,1.476145,0.002427,1.392852,0.838289,1.392852
4,0.027648,3.871655,2.388287,0.009531,4.814277,1.775001,0.003726,4.022081,1.355062,4.022081
8,0.043992,7.453395,3.724545,0.016677,14.319119,1.781485,0.005664,14.782470,1.850843,14.782470
16,0.072207,13.761545,5.503182,0.024109,49.509062,1.674182,0.009508,60.168402,2.109898,60.168402
32,0.149230,24.249610,7.734725,0.030977,192.311763,1.543748,0.017828,259.726636,2.152770,259.726636
64,0.539447,40.827057,10.427666,0.030206,820.429710,1.444246,0.061365,1172.219355,2.075140,1172.219354
